Genre,Album Length,Worldwide Sales (Est.),row
Pop,60-80,>20,0
Pop,40-60,>20,1
Country,<40,15-20,2
Hip Hop,40-60,15-20,3
Pop,40-60,15-20,4
World,40-60,15-20,5
Pop,40-60,10-15,6
Rock,60-80,5-10,7
Pop,40-60,5-10,8
Classical,60-80,5-10,9
Rock,60-80,>20,10
Rock,40-60,>20,11
Pop,60-80,>20,12
Rock,60-80,15-20,13
Rock,40-60,15-20,14
Rock,40-60,15-20,15
Rock,60-80,15-20,16
Rock,60-80,15-20,17
Rock,60-80,15-20,18
Country,<40,10-15,19
Pop,40-60,>20,20
Pop,60-80,>20,21
Rock,60-80,>20,22
Rock,40-60,15-20,23
Jazz,60-80,10-15,24
Country,<40,10-15,25
Country,<40,10-15,26
Rock,40-60,5-10,27
Pop,<40,5-10,28
Rock,60-80,5-10,29
Pop,40-60,>20,30
Pop,40-60,>20,31
Rock,60-80,>20,32
R&B,60-80,>20,33
Rock,60-80,15-20,34
Rock,60-80,10-15,35
Pop,60-80,10-15,36
Country,<40,10-15,37
Rock,60-80,10-15,38
R&B,40-60,10-15,39
Rock,40-60,>20,40
Rock,<40,>20,41
Rock,60-80,15-20,42
Pop,<40,15-20,43
World,40-60,10-15,44
R&B,40-60,10-15,45
Rock,40-60,10-15,46
R&B,40-60,10-15,47
Rock,40-60,10-15,48
Rock,60-80,10-15,49
Rock,40-60,>20,50
Pop,40-60,>20,51
Rock,40-60,>20,52
Pop,>80,>20,53
Rock,60-80,>20,54
Country,40-60,>20,55
Rock,40-60,10-15,56
Pop,40-60,10-15,57
R&B,60-80,10-15,58
Rock,60-80,10-15,59
Pop,60-80,>20,60
Pop,<40,>20,61
Rock,40-60,15-20,62
R&B,40-60,15-20,63
Pop,40-60,10-15,64
Hip Hop,60-80,10-15,65
World,40-60,10-15,66
Rock,60-80,5-10,67
Rock,60-80,5-10,68
Pop,40-60,5-10,69
Country,60-80,>20,70
Pop,60-80,>20,71
Classical,60-80,>20,72
Classical,60-80,>20,73
Pop,40-60,10-15,74
Pop,<40,10-15,75
Pop,40-60,10-15,76
World,40-60,10-15,77
World,60-80,10-15,78
Rock,40-60,10-15,79
Pop,40-60,>20,80
R&B,60-80,>20,81
R&B,60-80,15-20,82
Pop,60-80,10-15,83
Country,40-60,10-15,84
Rock,60-80,10-15,85
Rock,60-80,10-15,86
Rock,40-60,10-15,87
Country,>80,10-15,88
Pop,60-80,10-15,89
Pop,40-60,>20,90
Pop,40-60,>20,91
Rock,60-80,>20,92
Pop,60-80,15-20,93
Pop,40-60,15-20,94
Rock,<40,15-20,95
Rock,40-60,15-20,96
Pop,40-60,10-15,97
Rock,40-60,10-15,98
Pop,40-60,10-15,99
Hip Hop,60-80,>20,100
Rock,60-80,>20,101
Rock,<40,>20,102
Pop,40-60,>20,103
Pop,40-60,>20,104
Pop,40-60,10-15,105
Rock,40-60,10-15,106
World,<40,10-15,107
Rock,40-60,10-15,108
Hip Hop,60-80,10-15,109
Rock,40-60,15-20,110
Pop,40-60,10-15,111
R&B,60-80,10-15,112
Pop,40-60,10-15,113
Rock,<40,5-10,114
Rock,<40,5-10,115
Rock,40-60,5-10,116
R&B,40-60,5-10,117
Pop,<40,5-10,118
Rock,60-80,5-10,119
Pop,40-60,>20,120
Hip Hop,60-80,>20,121
Rock,40-60,15-20,122
Rock,40-60,10-15,123
Rock,60-80,10-15,124
Hip Hop,60-80,10-15,125
Rock,40-60,10-15,126
Pop,60-80,10-15,127
Country,60-80,5-10,128
Pop,60-80,5-10,129
Rock,40-60,15-20,130
Hip Hop,40-60,10-15,131
Rock,<40,10-15,132
Pop,60-80,5-10,133
Rock,40-60,5-10,134
Pop,40-60,5-10,135
Hip Hop,40-60,5-10,136
Pop,60-80,5-10,137
R&B,40-60,5-10,138
Hip Hop,>80,5-10,139
R&B,60-80,>20,140
Rock,40-60,10-15,141
Rock,60-80,10-15,142
Pop,<40,10-15,143
Pop,40-60,10-15,144
Rock,40-60,10-15,145
Rock,40-60,5-10,146
Hip Hop,60-80,5-10,147
Rock,40-60,5-10,148
Rock,40-60,5-10,149
Rock,40-60,15-20,150
Hip Hop,60-80,10-15,151
Rock,60-80,10-15,152
Pop,40-60,10-15,153
Pop,40-60,10-15,154
Country,40-60,5-10,155
Hip Hop,60-80,5-10,156
Rock,40-60,5-10,157
Hip Hop,60-80,5-10,158
Pop,40-60,5-10,159
R&B,<40,15-20,160
Pop,40-60,10-15,161
Pop,60-80,5-10,162
Rock,60-80,5-10,163
Pop,>80,5-10,164
R&B,40-60,5-10,165
Country,40-60,5-10,166
Hip Hop,40-60,5-10,167
Rock,40-60,5-10,168
Rock,>80,5-10,169
Pop,40-60,10-15,170
Pop,40-60,5-10,171
Pop,40-60,5-10,172
Pop,40-60,5-10,173
Rock,40-60,5-10,174
Hip Hop,40-60,5-10,175
R&B,40-60,5-10,176
Country,>80,5-10,177
Rock,>80,5-10,178
Pop,40-60,5-10,179
Pop,40-60,10-15,180
Country,40-60,10-15,181
Rock,40-60,10-15,182
Rock,40-60,5-10,183
Pop,60-80,5-10,184
Rock,40-60,5-10,185
Pop,40-60,5-10,186
Rock,40-60,5-10,187
Pop,40-60,5-10,188
Pop,40-60,5-10,189
Pop,40-60,5-10,190
Pop,<40,5-10,191
Rock,40-60,5-10,192
Hip Hop,60-80,5-10,193
Pop,40-60,5-10,194
Pop,40-60,5-10,195
Rock,40-60,5-10,196
Rock,40-60,<5,197
Classical,40-60,<5,198
Pop,<40,<5,199
Pop,40-60,10-15,200
Pop,<40,10-15,201
Hip Hop,60-80,5-10,202
Country,60-80,5-10,203
Pop,40-60,5-10,204
Pop,<40,5-10,205
Country,40-60,<5,206
Country,40-60,<5,207
Pop,40-60,<5,208
Hip Hop,60-80,<5,209
Pop,40-60,>20,210
Pop,40-60,15-20,211
Pop,40-60,5-10,212
Pop,60-80,5-10,213
Hip Hop,>80,5-10,214
Pop,40-60,5-10,215
Hip Hop,40-60,5-10,216
Hip Hop,60-80,5-10,217
Pop,<40,<5,218
Rock,40-60,<5,219
Rock,40-60,5-10,220
Pop,<40,5-10,221
Pop,60-80,5-10,222
Pop,40-60,5-10,223
Rock,40-60,5-10,224
Pop,40-60,5-10,225
R&B,40-60,<5,226
Rock,40-60,<5,227
Pop,40-60,<5,228
Pop,40-60,<5,229
Pop,60-80,10-15,230
Hip Hop,60-80,5-10,231
Pop,40-60,5-10,232
EDM,40-60,5-10,233
Pop,40-60,<5,234
Hip Hop,40-60,<5,235
Pop,60-80,<5,236
Country,40-60,<5,237
Pop,<40,<5,238
Pop,40-60,<5,239
Pop,40-60,10-15,240
Pop,40-60,10-15,241
Pop,<40,5-10,242
Blues,40-60,<5,243
Pop,40-60,<5,244
Rock,40-60,<5,245
Pop,40-60,<5,246
Hip Hop,60-80,<5,247
Pop,40-60,<5,248
Rock,40-60,<5,249
Pop,40-60,>20,250
Pop,40-60,10-15,251
Hip Hop,40-60,5-10,252
Rock,40-60,5-10,253
R&B,60-80,5-10,254
Hip Hop,>80,<5,255
Country,60-80,<5,256
Pop,<40,<5,257
Pop,40-60,<5,258
Pop,<40,<5,259
Hip Hop,>80,5-10,260
Hip Hop,40-60,5-10,261
R&B,60-80,<5,262
Pop,40-60,<5,263
Pop,<40,<5,264
Pop,40-60,<5,265
Pop,<40,<5,266
Pop,40-60,<5,267
Pop,40-60,<5,268
Pop,60-80,<5,269
Pop,40-60,10-15,270
Pop,<40,5-10,271
Pop,40-60,5-10,272
Rock,<40,<5,273
Hip Hop,40-60,<5,274
R&B,40-60,<5,275
Country,40-60,<5,276
Rock,>80,<5,277
R&B,40-60,<5,278
Pop,<40,<5,279
Hip Hop,60-80,5-10,280
Hip Hop,>80,5-10,281
Hip Hop,40-60,<5,282
Pop,>80,<5,283
Pop,60-80,<5,284
Hip Hop,<40,<5,285
Hip Hop,40-60,<5,286
Hip Hop,40-60,<5,287
Pop,40-60,<5,288
Rock,60-80,<5,289
Pop,40-60,5-10,290
Hip Hop,40-60,5-10,291
Pop,<40,5-10,292
Pop,60-80,<5,293
Pop,40-60,<5,294
Pop,40-60,<5,295
Country,40-60,<5,296
Pop,>80,<5,297
Pop,<40,<5,298
Pop,40-60,<5,299
Pop,60-80,5-10,300
Pop,<40,5-10,301
Hip Hop,40-60,<5,302
R&B,40-60,<5,303
Pop,60-80,<5,304
Hip Hop,60-80,<5,305
Pop,<40,<5,306
Hip Hop,40-60,<5,307
Pop,<40,<5,308
Hip Hop,<40,<5,309
Pop,40-60,<5,310
Pop,<40,<5,311
Pop,<40,<5,312
Pop,<40,<5,313
Country,>80,<5,314
Hip Hop,<40,<5,315
Pop,40-60,<5,316
Pop,<40,<5,317
Hip Hop,>80,<5,318
Pop,40-60,<5,319
