Genre,Album Length,Worldwide Sales (Est.),Ranking,row
Hip Hop,60-80,>20,1,100
Rock,60-80,>20,2,101
Rock,<40,>20,3,102
Pop,40-60,>20,4,103
Pop,40-60,>20,5,104
Pop,40-60,10-15,6,105
Rock,40-60,10-15,7,106
World,<40,10-15,8,107
Rock,40-60,10-15,9,108
Hip Hop,60-80,10-15,10,109
Rock,40-60,15-20,1,110
Pop,40-60,10-15,2,111
R&B,60-80,10-15,3,112
Pop,40-60,10-15,4,113
Rock,<40,5-10,5,114
Rock,<40,5-10,6,115
Rock,40-60,5-10,7,116
R&B,40-60,5-10,8,117
Pop,<40,5-10,9,118
Rock,60-80,5-10,10,119
Pop,40-60,>20,1,120
Hip Hop,60-80,>20,2,121
Rock,40-60,15-20,3,122
Rock,40-60,10-15,4,123
Rock,60-80,10-15,5,124
Hip Hop,60-80,10-15,6,125
Rock,40-60,10-15,7,126
Pop,60-80,10-15,8,127
Country,60-80,5-10,9,128
Pop,60-80,5-10,10,129
Rock,40-60,15-20,1,130
Hip Hop,40-60,10-15,2,131
Rock,<40,10-15,3,132
Pop,60-80,5-10,4,133
Rock,40-60,5-10,5,134
Pop,40-60,5-10,6,135
Hip Hop,40-60,5-10,7,136
Pop,60-80,5-10,8,137
R&B,40-60,5-10,9,138
Hip Hop,>80,5-10,10,139
R&B,60-80,>20,1,140
Rock,40-60,10-15,2,141
Rock,60-80,10-15,3,142
Pop,<40,10-15,4,143
Pop,40-60,10-15,5,144
Rock,40-60,10-15,6,145
Rock,40-60,5-10,7,146
Hip Hop,60-80,5-10,8,147
Rock,40-60,5-10,9,148
Rock,40-60,5-10,10,149
Rock,40-60,15-20,1,150
Hip Hop,60-80,10-15,2,151
Rock,60-80,10-15,3,152
Pop,40-60,10-15,4,153
Pop,40-60,10-15,5,154
Country,40-60,5-10,6,155
Hip Hop,60-80,5-10,7,156
Rock,40-60,5-10,8,157
Hip Hop,60-80,5-10,9,158
Pop,40-60,5-10,10,159
R&B,<40,15-20,1,160
Pop,40-60,10-15,2,161
Pop,60-80,5-10,3,162
Rock,60-80,5-10,4,163
Pop,>80,5-10,5,164
R&B,40-60,5-10,6,165
Country,40-60,5-10,7,166
Hip Hop,40-60,5-10,8,167
Rock,40-60,5-10,9,168
Rock,>80,5-10,10,169
Pop,40-60,10-15,1,170
Pop,40-60,5-10,2,171
Pop,40-60,5-10,3,172
Pop,40-60,5-10,4,173
Rock,40-60,5-10,5,174
Hip Hop,40-60,5-10,6,175
R&B,40-60,5-10,7,176
Country,>80,5-10,8,177
Rock,>80,5-10,9,178
Pop,40-60,5-10,10,179
Pop,40-60,10-15,1,180
Country,40-60,10-15,2,181
Rock,40-60,10-15,3,182
Rock,40-60,5-10,4,183
Pop,60-80,5-10,5,184
Rock,40-60,5-10,6,185
Pop,40-60,5-10,7,186
Rock,40-60,5-10,8,187
Pop,40-60,5-10,9,188
Pop,40-60,5-10,10,189
Pop,40-60,5-10,1,190
Pop,<40,5-10,2,191
Rock,40-60,5-10,3,192
Hip Hop,60-80,5-10,4,193
Pop,40-60,5-10,5,194
Pop,40-60,5-10,6,195
Rock,40-60,5-10,7,196
Rock,40-60,<5,8,197
Classical,40-60,<5,9,198
Pop,<40,<5,10,199
