source,target,value
40-60,"10,000,000-15,000,000",18
40-60,"15,000,000-20,000,000",4
40-60,"5,000,000-10,000,000",34
40-60,"<5,000,000",2
40-60,">20,000,000",3
60-80,"10,000,000-15,000,000",8
60-80,"5,000,000-10,000,000",12
60-80,">20,000,000",4
<40,"10,000,000-15,000,000",3
<40,"15,000,000-20,000,000",1
<40,"5,000,000-10,000,000",4
<40,"<5,000,000",1
<40,">20,000,000",1
>80,"5,000,000-10,000,000",5
Classical,40-60,1
Country,40-60,3
Country,60-80,1
Country,>80,1
Hip Hop,40-60,4
Hip Hop,60-80,9
Hip Hop,>80,1
Pop,40-60,24
Pop,60-80,6
Pop,<40,4
Pop,>80,1
R&B,40-60,4
R&B,60-80,2
R&B,<40,1
Rock,40-60,25
Rock,60-80,6
Rock,<40,4
Rock,>80,2
World,<40,1
