,Year,Ranking,Worldwide Sales (Est.),Tracks,Album Length,Genre,Avg song length
0,1990,1,"30,000,000",17,73.53,Pop,4.33
1,1990,2,"20,000,000",12,47.73,Pop,3.98
2,1990,3,"18,770,000",10,34.57,Country,3.46
3,1990,4,"18,000,000",13,59.07,Hip Hop,4.54
4,1990,5,"15,000,000",11,46.77,Pop,4.25
5,1990,6,"15,000,000",12,58.22,World,4.85
6,1990,7,"10,000,000",11,53.75,Pop,4.89
7,1990,8,"9,956,520",15,76.88,Rock,5.13
8,1990,9,"8,838,000",7,40.27,Pop,5.75
9,1990,10,"8,533,000",17,67.92,Classical,4.0
10,1991,1,"33,000,000",12,62.67,Rock,5.22
11,1991,2,"30,000,000",13,42.6,Rock,3.28
12,1991,3,"27,000,000",14,77.05,Pop,5.5
13,1991,4,"19,000,000",17,76.53,Rock,4.5
14,1991,5,"18,000,000",12,55.45,Rock,4.62
15,1991,6,"15,710,000",11,53.33,Rock,4.85
16,1991,7,"15,000,000",12,71.5,Rock,5.96
17,1991,8,"15,000,000",16,76.15,Rock,4.76
18,1991,9,"15,000,000",14,75.92,Rock,5.42
19,1991,10,"14,570,000",10,36.62,Country,3.66
20,1992,1,"45,000,000",13,57.73,Pop,4.44
21,1992,2,"32,000,000",17,77.17,Pop,4.54
22,1992,3,"26,000,000",14,61.78,Rock,4.41
23,1992,4,"18,000,000",12,48.52,Rock,4.04
24,1992,5,"13,204,140",14,69.95,Jazz,5.0
25,1992,6,"10,535,000",11,36.98,Country,3.36
26,1992,7,"10,439,676",10,35.7,Country,3.57
27,1992,8,"8,337,500",12,53.65,Rock,4.47
28,1992,9,"7,000,000",7,28.75,Pop,4.11
29,1992,10,"6,337,818",18,72.72,Rock,4.04
30,1993,1,"30,000,000",10,42.02,Pop,4.2
31,1993,2,"25,000,000",13,49.35,Pop,3.8
32,1993,3,"20,000,000",14,62.1,Rock,4.44
33,1993,4,"20,000,000",28,75.38,R&B,2.69
34,1993,5,"15,000,000",11,75.63,Rock,6.88
35,1993,6,"12,972,000",18,65.28,Rock,3.63
36,1993,7,"12,571,000",15,65.65,Pop,4.38
37,1993,8,"10,847,500",10,37.47,Country,3.75
38,1993,9,"10,105,328",14,62.47,Rock,4.46
39,1993,10,"10,000,000",12,53.3,R&B,4.44
40,1994,1,"22,265,000",11,46.6,Rock,4.24
41,1994,2,"20,000,000",14,39.57,Rock,2.83
42,1994,3,"18,500,000",14,72.37,Rock,5.17
43,1994,4,"15,000,000",10,39.52,Pop,3.95
44,1994,5,"14,522,893",12,46.67,World,3.89
45,1994,6,"14,355,000",16,56.17,R&B,3.51
46,1994,7,"14,190,000",13,50.5,Rock,3.88
47,1994,8,"13,999,880",13,57.63,R&B,4.43
48,1994,9,"12,529,430",14,53.83,Rock,3.84
49,1994,10,"12,000,000",11,66.38,Rock,6.03
50,1995,1,"33,000,000",13,57.38,Rock,4.41
51,1995,2,"25,000,000",12,46.7,Pop,3.89
52,1995,3,"22,000,000",12,50.0,Rock,4.17
53,1995,4,"20,000,000",30,148.85,Pop,4.96
54,1995,5,"20,000,000",13,70.35,Rock,5.41
55,1995,6,"20,000,000",12,48.13,Country,4.01
56,1995,7,"13,585,000",14,59.5,Rock,4.25
57,1995,8,"13,490,000",14,58.52,Pop,4.18
58,1995,9,"12,000,000",16,72.85,R&B,4.55
59,1995,10,"10,593,328",18,76.58,Rock,4.25
60,1996,1,"32,000,000",14,67.0,Pop,4.79
61,1996,2,"23,000,000",10,39.93,Pop,3.99
62,1996,3,"15,000,000",12,46.72,Rock,3.89
63,1996,4,"15,000,000",12,54.93,R&B,4.58
64,1996,5,"14,000,000",13,54.47,Pop,4.19
65,1996,6,"13,860,000",13,60.87,Hip Hop,4.68
66,1996,7,"11,000,000",8,51.37,World,6.42
67,1996,8,"8,061,530",14,79.05,Rock,5.65
68,1996,9,"7,100,000",12,68.85,Rock,5.74
69,1996,10,"7,051,970",11,58.93,Pop,5.36
70,1997,1,"40,000,000",16,60.1,Country,3.76
71,1997,2,"30,000,000",16,74.47,Pop,4.65
72,1997,3,"30,000,000",15,72.52,Classical,4.83
73,1997,4,"20,000,000",15,70.22,Classical,4.68
74,1997,5,"14,000,000",11,40.73,Pop,3.7
75,1997,6,"14,000,000",10,38.62,Pop,3.86
76,1997,7,"13,000,000",11,46.3,Pop,4.21
77,1997,8,"12,500,000",11,54.57,World,4.96
78,1997,9,"12,000,000",14,60.0,World,4.29
79,1997,10,"12,000,000",12,49.73,Rock,4.14
80,1998,1,"20,000,000",10,44.0,Pop,4.4
81,1998,2,"20,000,000",14,69.33,R&B,4.95
82,1998,3,"15,000,000",16,66.6,R&B,4.16
83,1998,4,"14,000,000",13,66.7,Pop,5.13
84,1998,5,"13,715,000",12,43.65,Country,3.64
85,1998,6,"12,418,000",14,65.58,Rock,4.68
86,1998,7,"11,467,500",14,71.2,Rock,5.09
87,1998,8,"11,000,000",13,43.62,Rock,3.36
88,1998,9,"10,920,000",26,100.18,Country,3.85
89,1998,10,"10,738,067",17,73.22,Pop,4.31
90,1999,1,"40,000,000",12,48.18,Pop,4.01
91,1999,2,"27,000,000",11,42.33,Pop,3.85
92,1999,3,"25,000,000",13,74.98,Rock,5.77
93,1999,4,"18,513,351",16,71.97,Pop,4.5
94,1999,5,"17,000,000",14,59.27,Pop,4.23
95,1999,6,"16,000,000",12,35.28,Rock,2.94
96,1999,7,"16,000,000",15,56.4,Rock,3.76
97,1999,8,"14,000,000",12,46.45,Pop,3.87
98,1999,9,"13,195,000",11,56.47,Rock,5.13
99,1999,10,"12,000,000",12,51.85,Pop,4.32
100,2000,1,"32,000,000",18,72.07,Hip Hop,4.0
101,2000,2,"32,000,000",27,78.65,Rock,2.91
102,2000,3,"27,000,000",12,37.75,Rock,3.15
103,2000,4,"24,000,000",13,47.88,Pop,3.68
104,2000,5,"20,000,000",12,44.62,Pop,3.72
105,2000,6,"14,215,547",12,47.25,Pop,3.94
106,2000,7,"13,000,000",10,41.48,Rock,4.15
107,2000,8,"12,097,445",12,37.5,World,3.12
108,2000,9,"12,000,000",11,49.08,Rock,4.46
109,2000,10,"10,715,000",17,66.58,Hip Hop,3.92
110,2001,1,"15,000,000",14,55.18,Rock,3.94
111,2001,2,"13,000,000",13,49.23,Pop,3.79
112,2001,3,"12,000,000",16,63.07,R&B,3.94
113,2001,4,"10,000,000",13,50.15,Pop,3.86
114,2001,5,"9,301,500",10,39.13,Rock,3.91
115,2001,6,"8,000,000",13,38.93,Rock,2.99
116,2001,7,"7,428,000",11,50.08,Rock,4.55
