Ranking,AlbumLength,Year,Genre
1,73.53,1990,Pop
2,47.73,1990,Pop
3,34.57,1990,Country
1,62.67,1991,Rock
2,42.6,1991,Rock
3,77.05,1991,Pop
1,57.73,1992,Pop
2,77.17,1992,Pop
3,61.78,1992,Rock
1,42.02,1993,Pop
2,49.35,1993,Pop
3,62.1,1993,Rock
1,46.6,1994,Rock
2,39.57,1994,Rock
3,72.37,1994,Rock
1,57.38,1995,Rock
2,46.7,1995,Pop
3,50.0,1995,Rock
1,67.0,1996,Pop
2,39.93,1996,Pop
3,46.72,1996,Rock
1,60.1,1997,Country
2,74.47,1997,Pop
3,72.52,1997,Classical
1,44.0,1998,Pop
2,69.33,1998,RB
3,66.6,1998,RB
1,48.18,1999,Pop
2,42.33,1999,Pop
3,74.98,1999,Rock
1,72.07,2000,HipHop
2,78.65,2000,Rock
3,37.75,2000,Rock
1,55.18,2001,Rock
2,49.23,2001,Pop
3,63.07,2001,RB
1,45.05,2002,Pop
2,77.32,2002,HipHop
3,48.62,2002,Rock
1,48.75,2003,Rock
2,53.73,2003,HipHop
3,36.58,2003,Rock
1,60.5,2004,RB
2,57.2,2004,Rock
3,79.4,2004,Rock
1,41.55,2005,Rock
2,77.92,2005,HipHop
3,62.5,2005,Rock
1,34.93,2006,RB
2,54.33,2006,Pop
3,66.2,2006,Pop
1,46.03,2007,Pop
2,56.02,2007,Pop
3,53.65,2007,Pop
1,50.33,2008,Pop
2,53.68,2008,Country
3,45.82,2008,Rock
1,43.0,2009,Pop
2,34.15,2009,Pop
3,48.55,2009,Rock
1,46.73,2010,Pop
2,35.45,2010,Pop
3,76.93,2010,HipHop
1,48.02,2011,Pop
2,51.73,2011,Pop
3,49.88,2011,Pop
1,43.85,2012,Rock
2,34.85,2012,Pop
3,65.15,2012,Pop
1,69.67,2013,Pop
2,78.47,2013,HipHop
3,47.68,2013,Pop
1,48.68,2014,Pop
2,50.38,2014,Pop
3,32.78,2014,Pop
1,48.4,2015,Pop
2,48.22,2015,Pop
3,52.38,2015,HipHop
1,81.23,2016,HipHop
2,50.67,2016,HipHop
3,68.67,2016,RB
1,46.23,2017,Pop
2,39.85,2017,Pop
3,55.63,2017,Pop
1,64.43,2018,HipHop
2,89.73,2018,HipHop
3,58.55,2018,HipHop
1,40.93,2019,Pop
2,50.93,2019,HipHop
3,26.08,2019,Pop
1,75.0,2020,Pop
2,28.5,2020,Pop
3,56.68,2020,HipHop
1,58.23,2021,Pop
2,34.68,2021,Pop
3,35.15,2021,Pop
