source,target,ranking,row,value
Pop,60-80,1,0,1
Pop,40-60,2,1,1
Country,<40,3,2,1
Hip Hop,40-60,4,3,1
Pop,40-60,5,4,1
World,40-60,6,5,1
Pop,40-60,7,6,1
Rock,60-80,8,7,1
Pop,40-60,9,8,1
Classical,60-80,10,9,1
Rock,60-80,1,10,1
Rock,40-60,2,11,1
Pop,60-80,3,12,1
Rock,60-80,4,13,1
Rock,40-60,5,14,1
Rock,40-60,6,15,1
Rock,60-80,7,16,1
Rock,60-80,8,17,1
Rock,60-80,9,18,1
Country,<40,10,19,1
Pop,40-60,1,20,1
Pop,60-80,2,21,1
Rock,60-80,3,22,1
Rock,40-60,4,23,1
Jazz,60-80,5,24,1
Country,<40,6,25,1
Country,<40,7,26,1
Rock,40-60,8,27,1
Pop,<40,9,28,1
Rock,60-80,10,29,1
Pop,40-60,1,30,1
Pop,40-60,2,31,1
Rock,60-80,3,32,1
R&B,60-80,4,33,1
Rock,60-80,5,34,1
Rock,60-80,6,35,1
Pop,60-80,7,36,1
Country,<40,8,37,1
Rock,60-80,9,38,1
R&B,40-60,10,39,1
Rock,40-60,1,40,1
Rock,<40,2,41,1
Rock,60-80,3,42,1
Pop,<40,4,43,1
World,40-60,5,44,1
R&B,40-60,6,45,1
Rock,40-60,7,46,1
R&B,40-60,8,47,1
Rock,40-60,9,48,1
Rock,60-80,10,49,1
Rock,40-60,1,50,1
Pop,40-60,2,51,1
Rock,40-60,3,52,1
Pop,>80,4,53,1
Rock,60-80,5,54,1
Country,40-60,6,55,1
Rock,40-60,7,56,1
Pop,40-60,8,57,1
R&B,60-80,9,58,1
Rock,60-80,10,59,1
Pop,60-80,1,60,1
Pop,<40,2,61,1
Rock,40-60,3,62,1
R&B,40-60,4,63,1
Pop,40-60,5,64,1
Hip Hop,60-80,6,65,1
World,40-60,7,66,1
Rock,60-80,8,67,1
Rock,60-80,9,68,1
Pop,40-60,10,69,1
Country,60-80,1,70,1
Pop,60-80,2,71,1
Classical,60-80,3,72,1
Classical,60-80,4,73,1
Pop,40-60,5,74,1
Pop,<40,6,75,1
Pop,40-60,7,76,1
World,40-60,8,77,1
World,60-80,9,78,1
Rock,40-60,10,79,1
Pop,40-60,1,80,1
R&B,60-80,2,81,1
R&B,60-80,3,82,1
Pop,60-80,4,83,1
Country,40-60,5,84,1
Rock,60-80,6,85,1
Rock,60-80,7,86,1
Rock,40-60,8,87,1
Country,>80,9,88,1
Pop,60-80,10,89,1
Pop,40-60,1,90,1
Pop,40-60,2,91,1
Rock,60-80,3,92,1
Pop,60-80,4,93,1
Pop,40-60,5,94,1
Rock,<40,6,95,1
Rock,40-60,7,96,1
Pop,40-60,8,97,1
Rock,40-60,9,98,1
Pop,40-60,10,99,1
60-80,>20,1,0,1
40-60,>20,2,1,1
<40,15-20,3,2,1
40-60,15-20,4,3,1
40-60,15-20,5,4,1
40-60,15-20,6,5,1
40-60,10-15,7,6,1
60-80,5-10,8,7,1
40-60,5-10,9,8,1
60-80,5-10,10,9,1
60-80,>20,1,10,1
40-60,>20,2,11,1
60-80,>20,3,12,1
60-80,15-20,4,13,1
40-60,15-20,5,14,1
40-60,15-20,6,15,1
60-80,15-20,7,16,1
60-80,15-20,8,17,1
60-80,15-20,9,18,1
<40,10-15,10,19,1
40-60,>20,1,20,1
60-80,>20,2,21,1
60-80,>20,3,22,1
40-60,15-20,4,23,1
60-80,10-15,5,24,1
<40,10-15,6,25,1
<40,10-15,7,26,1
40-60,5-10,8,27,1
<40,5-10,9,28,1
60-80,5-10,10,29,1
40-60,>20,1,30,1
40-60,>20,2,31,1
60-80,>20,3,32,1
60-80,>20,4,33,1
60-80,15-20,5,34,1
60-80,10-15,6,35,1
60-80,10-15,7,36,1
<40,10-15,8,37,1
60-80,10-15,9,38,1
40-60,10-15,10,39,1
40-60,>20,1,40,1
<40,>20,2,41,1
60-80,15-20,3,42,1
<40,15-20,4,43,1
40-60,10-15,5,44,1
40-60,10-15,6,45,1
40-60,10-15,7,46,1
40-60,10-15,8,47,1
40-60,10-15,9,48,1
60-80,10-15,10,49,1
40-60,>20,1,50,1
40-60,>20,2,51,1
40-60,>20,3,52,1
>80,>20,4,53,1
60-80,>20,5,54,1
40-60,>20,6,55,1
40-60,10-15,7,56,1
40-60,10-15,8,57,1
60-80,10-15,9,58,1
60-80,10-15,10,59,1
60-80,>20,1,60,1
<40,>20,2,61,1
40-60,15-20,3,62,1
40-60,15-20,4,63,1
40-60,10-15,5,64,1
60-80,10-15,6,65,1
40-60,10-15,7,66,1
60-80,5-10,8,67,1
60-80,5-10,9,68,1
40-60,5-10,10,69,1
60-80,>20,1,70,1
60-80,>20,2,71,1
60-80,>20,3,72,1
60-80,>20,4,73,1
40-60,10-15,5,74,1
<40,10-15,6,75,1
40-60,10-15,7,76,1
40-60,10-15,8,77,1
60-80,10-15,9,78,1
40-60,10-15,10,79,1
40-60,>20,1,80,1
60-80,>20,2,81,1
60-80,15-20,3,82,1
60-80,10-15,4,83,1
40-60,10-15,5,84,1
60-80,10-15,6,85,1
60-80,10-15,7,86,1
40-60,10-15,8,87,1
>80,10-15,9,88,1
60-80,10-15,10,89,1
40-60,>20,1,90,1
40-60,>20,2,91,1
60-80,>20,3,92,1
60-80,15-20,4,93,1
40-60,15-20,5,94,1
<40,15-20,6,95,1
40-60,15-20,7,96,1
40-60,10-15,8,97,1
40-60,10-15,9,98,1
40-60,10-15,10,99,1
