Genre,Album Length,Worldwide Sales (Est.),Row Number
Pop,60-80,">20,000,000",0
Pop,40-60,">20,000,000",1
Country,<40,"15,000,000-20,000,000",2
Hip Hop,40-60,"15,000,000-20,000,000",3
Pop,40-60,"15,000,000-20,000,000",4
World,40-60,"15,000,000-20,000,000",5
Pop,40-60,"10,000,000-15,000,000",6
Rock,60-80,"5,000,000-10,000,000",7
Pop,40-60,"5,000,000-10,000,000",8
Classical,60-80,"5,000,000-10,000,000",9
Rock,60-80,">20,000,000",10
Rock,40-60,">20,000,000",11
Pop,60-80,">20,000,000",12
Rock,60-80,"15,000,000-20,000,000",13
Rock,40-60,"15,000,000-20,000,000",14
Rock,40-60,"15,000,000-20,000,000",15
Rock,60-80,"15,000,000-20,000,000",16
Rock,60-80,"15,000,000-20,000,000",17
Rock,60-80,"15,000,000-20,000,000",18
Country,<40,"10,000,000-15,000,000",19
Pop,40-60,">20,000,000",20
Pop,60-80,">20,000,000",21
Rock,60-80,">20,000,000",22
Rock,40-60,"15,000,000-20,000,000",23
Jazz,60-80,"10,000,000-15,000,000",24
Country,<40,"10,000,000-15,000,000",25
Country,<40,"10,000,000-15,000,000",26
Rock,40-60,"5,000,000-10,000,000",27
Pop,<40,"5,000,000-10,000,000",28
Rock,60-80,"5,000,000-10,000,000",29
Pop,40-60,">20,000,000",30
Pop,40-60,">20,000,000",31
Rock,60-80,">20,000,000",32
R&B,60-80,">20,000,000",33
Rock,60-80,"15,000,000-20,000,000",34
Rock,60-80,"10,000,000-15,000,000",35
Pop,60-80,"10,000,000-15,000,000",36
Country,<40,"10,000,000-15,000,000",37
Rock,60-80,"10,000,000-15,000,000",38
R&B,40-60,"10,000,000-15,000,000",39
Rock,40-60,">20,000,000",40
Rock,<40,">20,000,000",41
Rock,60-80,"15,000,000-20,000,000",42
Pop,<40,"15,000,000-20,000,000",43
World,40-60,"10,000,000-15,000,000",44
R&B,40-60,"10,000,000-15,000,000",45
Rock,40-60,"10,000,000-15,000,000",46
R&B,40-60,"10,000,000-15,000,000",47
Rock,40-60,"10,000,000-15,000,000",48
Rock,60-80,"10,000,000-15,000,000",49
Rock,40-60,">20,000,000",50
Pop,40-60,">20,000,000",51
Rock,40-60,">20,000,000",52
Pop,>80,">20,000,000",53
Rock,60-80,">20,000,000",54
Country,40-60,">20,000,000",55
Rock,40-60,"10,000,000-15,000,000",56
Pop,40-60,"10,000,000-15,000,000",57
R&B,60-80,"10,000,000-15,000,000",58
Rock,60-80,"10,000,000-15,000,000",59
Pop,60-80,">20,000,000",60
Pop,<40,">20,000,000",61
Rock,40-60,"15,000,000-20,000,000",62
R&B,40-60,"15,000,000-20,000,000",63
Pop,40-60,"10,000,000-15,000,000",64
Hip Hop,60-80,"10,000,000-15,000,000",65
World,40-60,"10,000,000-15,000,000",66
