source,target,value
40-60,"10,000,000-15,000,000",5
40-60,"15,000,000-20,000,000",1
40-60,"5,000,000-10,000,000",16
40-60,"<5,000,000",35
40-60,">20,000,000",2
60-80,"10,000,000-15,000,000",1
60-80,"5,000,000-10,000,000",8
60-80,"<5,000,000",9
<40,"10,000,000-15,000,000",1
<40,"5,000,000-10,000,000",5
<40,"<5,000,000",10
>80,"5,000,000-10,000,000",3
>80,"<5,000,000",4
Blues,40-60,1
Country,40-60,5
Country,60-80,2
EDM,40-60,1
Hip Hop,40-60,9
Hip Hop,60-80,6
Hip Hop,<40,1
Hip Hop,>80,4
Pop,40-60,33
Pop,60-80,7
Pop,<40,14
Pop,>80,2
R&B,40-60,3
R&B,60-80,2
Rock,40-60,7
Rock,60-80,1
Rock,<40,1
Rock,>80,1
